index,title,company,industry,location,salary,education,department,experience,language,skills,additional,relevance_score,summary,link
491,資訊管理師(軟體工程師),10 / 27資訊管理師(軟體工程師)高雄榮民總醫院臺南分院｜醫院1.系統管理(Web應用伺服器管理、Microsoft Windows伺服器管理、資料庫系統管理、Storage Server、防毒主機等),N/A,台南市,"月薪 37,500元",大學,N/A,N/A,N/A,N/A,N/A,1,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/130376602
492,【資訊】ASP .NET(C#)系統工程師,10 / 27【資訊】ASP .NET(C#)系統工程師群益金鼎證券股份有限公司,N/A,台北市,"月薪 35,000元",專科,N/A,不拘,N/A,"SQL, C#, MySQL",N/A,3,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/98747649
493,國內業務工程師(楊梅廠),10 / 29國內業務工程師(楊梅廠)華新科技股份有限公司,電子元件製造1.業,桃園市,"月薪 38,000元",大學,N/A,N/A,N/A,N/A,N/A,1,10 / 29 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/113066135
494,生產計劃工程師(鹽水廠),10 / 30生產計劃工程師(鹽水廠)華新麗華股份有限公司,N/A,台南市,"月薪 38,600元",大學,N/A,不拘,N/A,N/A,N/A,1,10 / 30 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132100120
495,科技金融處_數據工程師,10 / 27科技金融處_數據工程師O-Bank_王道商業銀行股份有限公司,金融處_數據工程師O-Bank_王道商業,台北市,面議（經常性薪資達4萬元,大學,N/A,N/A,N/A,Hadoop,N/A,5,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132045139
496,資訊開發工程師-自營組,10 / 27資訊開發工程師-自營組康和綜合證券股份有限公司,N/A,台北市,面議（經常性薪資達4萬元,大學,N/A,N/A,N/A,N/A,需,1,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/103902358
497,S605設計繪圖工程師(高雄),10 / 28S605設計繪圖工程師(高雄)和淞科技股份有限公司,N/A,高雄市,"月薪 35,000元",專科,N/A,不拘,N/A,Excel,N/A,1,10 / 28 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132008923
498,商用Android系統開發工程師,10 / 28商用Android系統開發工程師康城工程顧問股份有限公司,N/A,台北市,"月薪 35,000元",專科,N/A,不拘,N/A,SQL,N/A,2,10 / 28 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/84801814
499,I106 .Net工程師(可遠端工作),10 / 30I106 .Net工程師(可遠端工作)台灣大哥大股份有限公司,N/A,台北市,"月薪 36,000元",國中,N/A,N/A,N/A,SQL,N/A,3,10 / 30 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/98863705
500,AI工程師（智慧醫療研發）,10 / 27AI 工程師（智慧醫療研發）醫療財團法人辜公亮基金會和信治癌中心醫院｜醫院熟悉資料庫操作（PostgreSQL、MongoDB、Kafka 等）,N/A,台北市,"月薪 38,000元",不拘,N/A,不拘,N/A,"SQL, Kafka, PostgreSQL, MongoDB",N/A,5,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132055241
501,🏭【苗栗】機械製圖工程師,10 / 27🏭【苗栗】機械製圖工程師毅興國際企業有限公司,電子遊戲機相關機構設計與生產的專業,苗栗縣,"月薪 35,000元",高中職,N/A,N/A,N/A,N/A,N/A,0,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/130402251
502,雲端產品設計與資料庫設計運用=專案經理人,10 / 29雲端產品設計與資料庫設計運用=專案經理人台灣安普通路股份有限公司,電子報、EDM、企業,桃園市,面議（經常性薪資達4萬元,國中,N/A,N/A,N/A,N/A,N/A,2,10 / 29 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/113135942
503,工研院感測系統中心_機械設計工程師/機構工程師(創新/R300),10 / 27工研院感測系統中心_機械設計工程師 /機構工程師(創新/R300)財團法人工業技術研究院｜工商顧問服務三、與製程工程師協作，完成設計圖轉換至可製造流程。,N/A,台南市,面議（經常性薪資達4萬元,碩士,N/A,不拘,N/A,N/A,N/A,1,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/113124314
504,水處理助理工程師(台北),10 / 29水處理助理工程師(台北)興亞太節能科技股份有限公司,N/A,台北市,"月薪 35,000元",高中職,N/A,N/A,N/A,N/A,N/A,2,10 / 29 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/91651115
505,水處理助理工程師(高雄),10 / 29水處理助理工程師(高雄)興亞太節能科技股份有限公司,N/A,高雄市,"月薪 35,000元",高中職,N/A,N/A,N/A,N/A,N/A,2,10 / 29 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/113122614
506,【操作器】機械設計工程師,10 / 30【操作器】機械設計工程師中興電工機械股份有限公司,N/A,桃園市,"月薪 33,000元",大學,N/A,不拘,N/A,N/A,N/A,1,10 / 30 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132169691
507,[Server]資深運維工程師(桃園),10 / 29[Server]資深運維工程師(桃園)Inventec_英業達股份有限公司,N/A,桃園市,面議（經常性薪資達4萬元,大學,N/A,N/A,N/A,N/A,N/A,1,10 / 29 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/131951077
508,機械設計工程師(宜蘭廠),10 / 28機械設計工程師(宜蘭廠)億鴻工業股份有限公司,製造修配1.協助設計主管繪零件加工圖及相關作業,宜蘭縣,"月薪 29,500元",專科,N/A,N/A,N/A,N/A,N/A,1,10 / 28 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/76668406
509,雲端軟體開發工程師(Azure),10 / 21雲端軟體開發工程師(Azure)凌群電腦股份有限公司,N/A,台北市,"月薪 31,000元",大學,N/A,N/A,N/A,Azure,N/A,3,10 / 21 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/91113049
510,廠務助理/工程師(CM)【台南】,10 / 28廠務助理/工程師(CM)【台南】永旗系統科技股份有限公司,N/A,台南市,"月薪 33,300元",專科,N/A,不拘,N/A,N/A,N/A,1,10 / 28 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/130366128
511,維修工程師(台中辦公室),10 / 27維修工程師(台中辦公室)力明儀器有限公司,N/A,台中市,"年薪 500,000元",專科,N/A,不拘,N/A,N/A,N/A,2,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/130313214
512,空調駐點工程師（松山區）,10 / 29空調駐點工程師（松山區）華科機電有限公司,N/A,台北市,"月薪 36,000元",不拘,N/A,不拘,N/A,N/A,N/A,2,10 / 29 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132164464
513,營管部-資訊軟體工程師,10 / 28營管部-資訊軟體工程師一本鮮國際實業有限公司,資訊軟體工程師一本鮮國際實業,新北市,"月薪 32,000元",大學,N/A,N/A,N/A,N/A,需,1,10 / 28 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/113101688
514,品管工程師(桃園龍潭區),10 / 25品管工程師(桃園龍潭區)福清營造股份有限公司,N/A,桃園市,面議（經常性薪資達4萬元,專科,N/A,N/A,N/A,N/A,N/A,1,10 / 25 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/113068567
515,資訊管理部 (助理)工程師,10 / 28資訊管理部 (助理)工程師國光生物科技股份有限公司,N/A,台中市,"月薪 31,000元",大學,N/A,不拘,N/A,N/A,需,1,10 / 28 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/92274582
516,資深軟體工程師(S1-台中),10 / 21資深軟體工程師(S1-台中)凌群電腦股份有限公司,N/A,台中市,面議（經常性薪資達4萬元,大學,N/A,N/A,N/A,"Java, C#, ETL",N/A,2,10 / 21 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/80242390
517,機電繪圖與設計工程師,10 / 27機電繪圖與設計工程師宜新有限公司,N/A,新北市,"月薪 30,000元",專科,N/A,不拘,N/A,N/A,需,1,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/130451797
518,【中科大雅】品管(MQE)工程師,10 / 27【中科大雅】品管(MQE)工程師矽品精密工業股份有限公司,N/A,台中市,"月薪 48,000元",大學,N/A,不拘,N/A,N/A,N/A,2,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132058134
519,工研院服科中心_AI資料標註暨校對工讀生 ( S200),10 / 27工研院服科中心_AI資料標註暨校對工讀生 ( S200)財團法人工業技術研究院｜工商顧問服務協助單位依各專案需求進行下述AI資料處理步驟：,N/A,新竹縣,,大學,N/A,不拘,N/A,N/A,需,1,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132105367
520,PLC/自動控制工程師助理,10 / 26PLC/自動控制工程師助理正越企業有限公司,N/A,新北市,"月薪 35,000元",專科,N/A,N/A,N/A,N/A,N/A,2,10 / 26 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/57632019
521,工研院感測系統中心_機械設計工程師/機構工程師(創新/R300),10 / 27工研院感測系統中心_機械設計工程師 /機構工程師(創新/R300)財團法人工業技術研究院｜工商顧問服務三、與製程工程師協作，完成設計圖轉換至可製造流程。,N/A,台南市,面議（經常性薪資達4萬元,碩士,N/A,不拘,N/A,N/A,N/A,1,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/113124314
522,[Server]MES系統維護工程師(桃園),10 / 29[Server]MES系統維護工程師(桃園)Inventec_英業達股份有限公司,N/A,桃園市,"月薪 35,000元",專科,N/A,N/A,N/A,N/A,N/A,1,10 / 29 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/130192082
523,P-資訊與技術部-工程師,10 / 29P-資訊與技術部-工程師霹靂國際多媒體股份有限公司,N/A,新北市,面議（經常性薪資達4萬元,大學,N/A,不拘,N/A,N/A,N/A,2,10 / 29 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/99049620
524,軟體工程師(資通技術處),10 / 21軟體工程師(資通技術處)凌群電腦股份有限公司,N/A,台北市,"月薪 31,000元",大學,N/A,N/A,N/A,SQL,需,2,10 / 21 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132090292
525,後端開發工程師(開發二部),10 / 27後端開發工程師(開發二部)中興保全科技股份有限公司,N/A,台北市,"月薪 40,000元",大學,N/A,不拘,N/A,N/A,N/A,2,10 / 27 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/98925815
526,內業工程師(兼副總特助),10 / 29內業工程師(兼副總特助)全面性系統整合科技股份有限公司,N/A,台中市,"月薪 38,000元",專科,N/A,N/A,N/A,N/A,N/A,1,10 / 29 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/132159869
527,【中科二林】品管(MQE)工程師,10 / 26【中科二林】品管(MQE)工程師矽品精密工業股份有限公司,N/A,彰化縣,"月薪 48,000元",大學,N/A,不拘,N/A,N/A,N/A,2,10 / 26 ｜ 1 ~ 5 人應徵,https://www.1111.com.tw/job/98834092
